full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff
Jahvin Carter,-3.301041830924075,-2.4040302084652154,-0.8970116224588598,-1.6412011425404698,-0.025632499993889724,-0.7371965659308557,-0.7491078586361882,-0.05426076005084407,-0.09364300377182741,0.0,-0.9107328297474169,3.895906975164919,2918.8425156939165
Wesley Celichowski,-3.3011576141972108,-2.871263543802849,-0.42989407039436184,-1.8254061795763896,-0.20117513705942436,-0.8446822271670349,-0.2197058149685281,-0.1372318272967713,-0.07295642812906243,0.0,-1.2560456196522929,3.8790731005580357,3098.8250927763825
Tahron Allen,-3.302032315249579,-2.6782405908538536,-0.6237917243957252,-2.015634795907466,-0.11953348064483829,-0.5430723143015492,-0.40848339036426723,-0.11486116182974879,-0.10044717220170912,0.0,-0.8779141289778454,4.002664301819538,2084.2594946122254
Jinwoo Kim,-3.302817186723016,-2.382878831449875,-0.9199383552731406,-1.8418361056797379,-0.13873977634040122,-0.40230294942973566,-0.7046522079369248,-0.12675631100239637,-0.08852983633381944,0.0,-0.7563288731063527,3.7923730126909416,4685.397432439349
Noa Gonsalves,-3.3042130688139437,-2.573162449162907,-0.7310506196510367,-1.8755510352396407,-0.240455983816742,-0.45715543010652404,-0.6204877117282132,-0.028348847137736936,-0.08221406078508664,0.0,-0.8081743218460896,3.803182800243886,4407.536867475401
Elijah Brooks,-3.3046356738438223,-2.4325791840635573,-0.8720564897802648,-1.906626624335283,-0.11348734096449073,-0.41246521876378356,-0.6455847684052664,-0.12278115902414397,-0.10369056235085448,0.0,-0.7524242811032728,3.9142275222951946,2732.3265543091748
Giovanni Emejuru,-3.3050984280681113,-2.72408354760884,-0.5810148804592713,-2.0686369756354828,-0.4662246135374521,-0.18922195843590522,-0.42784597191308676,-0.06187313661564117,-0.09129577193054335,0.0,-0.8086154805195419,3.773330243512511,5250.079253541862
Kamrin Oriol,-3.3060260495242577,-2.3513170771623795,-0.9547089723618785,-1.7100295534444943,-0.11720048344273966,-0.5240870402751459,-0.5684968379657032,-0.2635342499386997,-0.12267788445747561,0.0,-1.027499658114061,3.7909950061225106,4703.731094818518
Micah Simpson,-3.3063859446575954,-2.26258809012765,-1.0437978545299456,-1.8134046345719945,0.027316035361207414,-0.4764994909168626,-0.9254176021445204,-0.031634789455374346,-0.0867454629300508,0.0,-0.5675637079410804,3.800446792686651,4470.036835591912
Rory Stewart,-3.3064796363471523,-2.3476901877135665,-0.9587894486335857,-1.7634167220101888,-0.18927158729477128,-0.39500187840860623,-0.690498725063821,-0.195331700190228,-0.07295902337953676,0.0,-0.8525641892731421,3.8842636668288932,3062.1198964931937
Brandon Garrison,-3.306709369249492,-2.3087965603119613,-0.9979128089375305,-1.8735829399055284,-0.03659571411793408,-0.3986179062884989,-0.771745631642689,-0.14195719646942342,-0.08420998082541817,0.0,-0.6613807977012746,3.8293791384152236,3856.8994736531977
