full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff
Chasson Randle,-3.4269071891087237,-2.7124375376568373,-0.7144696514518866,-2.1918116904848497,-0.1780831754843026,-0.3425426716876848,-0.3307611284206585,-0.2017950622449964,-0.1819134607862316,0.0,-0.9043343702032155,5.209106981770733,3583.4843329207247
ID_1643206,-3.43395701429439,-3.228734977207892,-0.20522203708649772,-2.0411787987928403,-0.47010314928570435,-0.7174530291293477,0.2570793402404229,-0.32687311743553266,-0.13542825989138796,0.0,-1.6498575557419728,5.341199675635901,3320.9094877914595
ID_1641990,-3.435667335622445,-3.1296001299907577,-0.30606720563168743,-2.2239900074108654,-0.010311838058075201,-0.8952982845218171,-0.3586501467813131,0.24778038646502504,-0.1951974453153994,0.0,-0.8530271814302667,5.786938918645452,2648.750363622209
Jaylen Sims,-3.4367694724963744,-2.6309371179575916,-0.8058323545387828,-1.9125019138570492,-0.06884453629208309,-0.6495906678084591,-0.6091672751365241,-0.19999942433865842,0.003334344936399683,0.0,-0.9151002835028009,3.737432854680081,13315.380818329426
ID_1631129,-3.44097599023457,-2.657512049851353,-0.783463940383217,-1.992675102017628,-0.15806008917445546,-0.5067768586592694,-0.23514970766133655,-0.43469854506631056,-0.11361568765556983,0.0,-1.2131511805556052,5.952147654764166,2453.194487534387
Isaiah Crawford,-3.4473058028592023,-2.9166205280731234,-0.5306852747860787,-1.8435226344210731,-0.10669731818811043,-0.96640057546394,-0.19347856623931203,-0.2879211571317043,-0.04928555141506246,0.0,-1.4103046021988173,4.462124056717345,5985.848440301337
ID_1641987,-3.45097622706068,-3.8651583692404294,0.4141821421797497,-2.455546938297033,-0.6834108641797354,-0.7262005667636611,0.9039704579007434,-0.3556175418118069,-0.13417077390918675,0.0,-1.8993997466643902,4.282414450190371,7005.896317611749
Joe Wieskamp,-3.4530634500014004,-2.716506084052215,-0.7365573659491856,-2.12894170295147,-0.06377103633780362,-0.5237933447629415,-0.4742127436987532,-0.275262539376653,0.012917917126220632,0.0,-0.8499090033511776,5.325599895508567,3357.938248081921
ID_1642640,-3.458087450524837,-2.146491361969589,-1.3115960885552476,-2.009434493662749,-0.013083716517601707,-0.12397315178923837,-0.7904299240917314,-0.3794253700297545,-0.14174079443376172,0.0,-0.6582230327703563,4.7904109513862565,4669.987875987254
Tristen Newton,-3.4581014402422072,-2.5695166412996953,-0.8885847989425122,-1.7418346920473988,0.12354550024740268,-0.9512274494996992,-0.7138227281128413,0.05950717448236309,-0.23426924531203397,0.0,-1.0024440200819673,3.9400328986258306,10086.191486684249
ID_1641994,-3.4582763576506084,-2.08653574522182,-1.3717406124287885,-1.663986959521295,-0.12593396252967687,-0.29661482317084803,-1.20931169036092,-0.22075512937969347,0.058326207311825,0.0,-0.5849777077683933,5.742202659513414,2715.74042002979
Stanley Johnson,-3.459970230977171,-2.400263173636827,-1.0597070573403438,-1.9354109894271336,-0.11466304975453429,-0.3501891344551587,-0.8575564634023125,-0.3226906762940927,0.12054008235606148,0.0,-0.6670027781477242,5.426769020867647,3178.021705357685
Cormac Ryan,-3.464099149119282,-2.923902273283633,-0.5401968758356489,-1.8030966339368586,-0.4177718070277043,-0.7030338323190701,-0.5066976009378759,0.0357184630110626,-0.06921773790883565,0.0,-1.1543049142445476,4.444446018500449,6073.338341025572
ID_1642442,-3.4697899865020116,-2.5526752020920274,-0.9171147844099844,-1.9959478138699334,-0.22919864381505234,-0.32752874440704194,-0.49910234471074233,-0.12439011366707671,-0.2936223260321653,0.0,-0.9747398279213363,6.315806707151623,2100.018030081898
Chris Livingston,-3.4720683991152486,-1.965903778061662,-1.5061646210535866,-1.773025772713015,-0.6931781549560259,0.5003001496073789,-1.05710081696445,-0.28719864657608124,-0.16186515751305539,0.0,-0.6419418094377836,4.415302257130388,6217.909907342933
ID_1642485,-3.4736728861041692,-2.5851197771818417,-0.8885531089223275,-1.9926110731983622,-0.330276839587366,-0.26223186439611357,-0.5541670553062547,-0.3010135657904804,-0.03337248782559249,0.0,-0.9268947575995525,4.8313613097902754,4539.917903020865
Gabe York,-3.4834094548230867,-2.667805693970184,-0.8156037608529028,-2.0280394680055838,0.008327264118497185,-0.6480934900830974,-0.9972243999853648,0.2521532209213584,-0.07053258178889626,0.0,-0.4581455868321381,5.233649609998941,3535.066522991467
Galen Robinson Jr.,-3.49122163710481,-2.9098645418231315,-0.5813570952816786,-2.233833265173551,-0.21350608938624735,-0.462525187263333,-0.5648854453581794,0.16270929939069717,-0.1791809493141963,0.0,-0.6925029265730795,5.301108408159756,3397.6947168622264
Feron Hunt,-3.4935488893082596,-2.9903119812426167,-0.5032369080656427,-1.9583858436418573,-0.7171760180286165,-0.31475011957214294,-0.4520402605283156,0.188711812765729,-0.23990846030305607,0.0,-1.0831227851380867,4.435558650509701,6115.502826000215
Maxwell Lewis,-3.4983549493132107,-3.34317575680719,-0.15517919250602077,-2.234149569469816,-0.33306264843952105,-0.7759635388978525,0.0333796946874107,0.017645049401141782,-0.20620393659457326,0.0,-1.2975850745308053,6.208050719400515,2195.8152635142565
Josh Reaves,-3.500235371318984,-3.441990816197697,-0.05824455512128672,-2.115524069959302,-0.6288684081830965,-0.6975983380552987,-1.7301702790511424,1.6951955575064335,-0.02326983357657779,0.0,0.34545897769146044,5.5478330639737345,2980.8021439107897
Leonard Miller,-3.5060812159368866,-2.3473449904397627,-1.1587362254971239,-1.8798075673189716,-0.5269975344158466,0.059460111295055684,-0.9627482019857104,-0.04895495085750693,-0.1470330726539063,0.0,-0.6635254466322041,4.712493682363714,4931.894151623379
DJ Stewart,-3.5076015453979106,-2.8907785180529872,-0.6168230273449232,-2.1788829890159445,0.02248262868606679,-0.7343781577231097,-0.6580217715272243,0.09514768427675907,-0.05394894009445803,0.0,-0.6706967848547419,5.938528622328407,2471.7456100250392
Phillip Wheeler,-3.5103323021846644,-2.6582385332136558,-0.8520937689710087,-1.9751136615401546,-0.4420318291689591,-0.2410930425045419,-1.3188404665475284,0.5973569050005871,-0.13061020742406748,0.0,-0.21637817409698135,4.018386302376249,9183.988427603235
