full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff,nba_player_id,id_ambiguous,war,war_rate82,dollar_value
Jaren Jackson Jr.,1.5904028546403297,-1.062307491346653,2.257583859089032,-1.1348097632825878,0.2975647408668851,-0.22506246893095033,2.5508944749949913,-0.1854471204804341,-0.10786349542552554,0.39512648689795093,-0.22080834397002486,3.270939580316854,19731.839753330696,1628991,False,1.98,3.3811875,5938354.0
Scottie Barnes,1.5637886507378282,0.19928945961990407,1.0846970502926385,-0.6011487212887774,0.3054326572757823,0.4950055236328992,0.37546332340734423,0.6187170494789507,0.0905166774063437,0.27980214082528576,1.5096719077939758,2.9203986625881777,24753.060394346325,1630567,False,8.37,8.579,25108979.0
Al Horford,1.5546266846664523,0.3691702723972734,1.0457420188947761,0.8952989806496259,0.3597166176411653,-0.8858453258935177,1.023820217098283,-0.14518659302857803,0.16710839482507114,0.13971439337440272,-0.5042069064558594,3.4047565240614466,18211.287841607427,201143,False,0.683,1.245,2049081.0
Aaron Holiday,1.5392998973230498,-0.4239553049085842,1.3249317491368715,-0.8567188663593277,0.4159458957130604,0.01681766573768312,1.6140995003926066,0.26617800064823893,-0.5553457519039741,0.6383234530947626,0.14359581019500844,4.588398462368424,10027.539087239737,1628988,False,0.568,0.8310000000000001,1703336.0
Immanuel Quickley,1.5309633111811407,0.10753174365264198,1.094530137689441,-0.7256650539613945,0.9665971058545069,-0.13340030824047042,1.4613611628051668,-0.04120568169192605,-0.32562534342379984,0.3289014298390578,0.4663657724983105,3.3652742453410025,18641.111557401793,1630193,False,4.227,4.951,12679799.0
Day'Ron Sharpe,1.523877884386061,-0.39102374088768754,1.1259548415494334,-1.3369053619526214,-1.0330574992076311,1.978939120272565,0.40390270788281496,0.23305646060934937,0.48899567305726904,0.7889467837243151,1.6679337547315525,4.923594108329656,8708.595956488567,1630549,False,2.777,3.673,8330517.0
Rasheer Fleming,1.5128350217646869,-0.004093773815184498,0.6399119989796407,-0.24385468829497592,-0.1782352175636442,0.4179961320434356,0.21848584457414225,0.031803721709352674,0.38962243269614577,0.8770167966002307,0.6611870688852899,9.299251206129398,2441.3042683863314,1642853,False,0.889,1.326,2667668.0
Coby White,1.481018273649446,2.252853149129318,-0.719180445568602,1.4078834427624907,0.7377551338574141,0.10721457250941291,-0.011739344194596523,-0.4640806139487957,-0.24336048742520966,-0.052654429911269895,0.13752860499282166,3.2088398624832366,20502.965759198683,1629632,False,0.84,1.3785800000000001,2522133.0
Evan Mobley,1.4492496079311747,-0.682279519525911,1.9750419648493647,-0.2297150782749111,0.2115436891193701,-0.66410813037037,1.2551935495359914,-0.019886447414154202,0.7397348627275275,0.1564871626077211,0.2672839740623735,2.945113563838235,24339.323550086017,1630596,False,3.559,4.56,10677434.0
Draymond Green,1.3923064430144714,-0.999733051803359,2.234092389118382,0.6382629340264854,-0.7660168725808266,-0.8719791132490178,1.3648331301037053,0.16472848914264412,0.7045307698720323,0.15794710569944836,-0.768736726815168,3.1234153398284676,21639.799404478475,203110,False,2.766,3.335,8296932.0
Ty Jerome,1.3899991447464752,1.8314905290173153,-0.5735441285920012,0.8556049964526098,0.6930247399952562,0.2828607925694495,-0.08376085167521873,-0.004130958287622492,-0.48565231862916,0.132052744321161,0.48610225564792325,5.368593577449432,7324.7285997055715,1629660,False,0.168,0.918,503598.0
Jusuf Nurkic,1.3880763302628178,-1.2322992277707105,2.3583352871259264,-0.041113518885657896,-0.6561321410925154,-0.5350535677925371,1.472272436580109,-0.7591723425204947,1.6452351930663123,0.26204027090760196,-0.3051228583392347,3.868477108156558,14106.956004459025,,True,,,
Mitchell Robinson,1.3799692962720602,-0.12919765129095717,1.1434100256384134,-2.212493536081432,-0.48226736395852027,2.565563248748995,0.7679375664287119,0.14354014420549038,0.23193231500421113,0.36575692192460396,2.4587683440001764,4.154814621144627,12230.173724439592,,True,,,
Ja Morant,1.3682831953488472,0.7654366766733492,0.44644447979109747,0.7163413895820816,0.22726180656148048,-0.1781665194702128,0.514857657604145,0.04277184058710129,-0.11118501840014886,0.15640203888440052,-0.01931789072177989,4.051831217490834,12859.135978431532,1629630,False,0.247,1.014,742213.0
Jaylin Williams,1.3633317258437883,-0.1956449515548878,1.3995188312563251,0.7564567066130057,-0.06569771134003292,-0.8864039468278606,1.198169264976576,-0.31775192005832376,0.519101486338073,0.15945784614235103,-0.7507520918881443,4.41855217701537,10813.176520380706,,True,,,
Jamal Shead,1.359011973067048,-0.030866891152722294,1.0979739902456491,-0.24224346652205336,0.16923272313476936,0.042143852234561706,0.5416688727903942,1.137061967125806,-0.580756849670551,0.29190487397412124,0.7676816928245861,4.369199119088683,11058.8705824914,1642347,False,2.854,2.854,8560918.0
Deni Avdija,1.342641888236745,1.8137793188689162,-0.5420456202148608,1.5896375394307862,0.13620089408840896,0.08794088534972094,-0.13289738877677434,-0.16559252140875022,-0.24355571002933624,0.07090818958268974,-0.18500645199995655,3.042151290379025,22811.434052474666,,True,,,
Brandon Clarke,1.3398426588864933,0.1022417703606355,0.9823499965176993,-0.17522099792315685,0.2619818434398333,0.01548092484395907,0.9311115164902752,0.21959074676312101,-0.168352266735697,0.25525089200815865,0.3287012483112164,5.472681780076175,7048.7732235541425,1629634,False,0.001,0.059,4348.0
Julius Randle,1.3238467585229703,1.3067842415201496,0.04464132710573082,1.4177373368699464,-0.053985957419211264,-0.05696713793058564,0.6912593802531758,-0.22112020597536355,-0.42549784717208144,-0.02757881010291019,-0.7575711484972418,2.772174728952488,27470.851103075813,203944,False,4.191,4.406,12573249.0
Mike Conley,1.3200036311094996,0.8167121928878133,0.486440835867932,0.24389566638343835,0.4480461341716485,0.12477039233272645,-0.14656317984635955,0.2020083306803265,0.43099568503396507,0.01685060235375424,1.2058205422186665,3.294773629413189,19447.41438652375,201144,False,0.96,1.4849999999999999,2879725.0
Brandon Miller,1.2826174309310137,0.2424086190225766,0.9644365629867941,-0.18317810338904789,-0.08005454346712333,0.5056412658787478,0.5726561133752986,3.7303378655682146e-05,0.39174314623283973,0.07577224892164303,0.8173671720231199,4.024559979030294,13033.950737695504,1641706,False,3.369,4.317,10107790.0
Cedric Coward,1.2733455177134276,1.2969128108994248,-0.22020413606816497,2.062167564119531,-0.33186060089261865,-0.4333941523274878,0.6836858392710632,-0.32046232083525134,-0.5834276545039768,0.19663684288216787,-1.6691447285593344,6.058489820249823,5751.540918782743,1642907,False,3.258,4.309,9774332.0
Jakob Poeltl,1.263141705242583,0.3593436201265653,0.8010812886734054,0.4050087723387425,-0.5148468812267584,0.46918172901458116,-0.18375880313796047,0.3483224215106317,0.6365176703007343,0.10271679644261233,0.9391749395991887,3.6204911858503865,16105.67654266216,1627751,False,1.908,3.401,5724183.0
Bogdan Bogdanovic,1.2558270960193338,0.9900083612317199,0.05834731123073064,0.41790070902855575,0.6892828068069513,-0.1171751546037871,0.12730080821375614,-0.228707191991361,0.1597536950083355,0.2074714235568833,0.5031541552201386,3.8315050993275404,14380.512590693808,,True,,,
